model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatboostClassifier,0.9198635976129582,0.914,0.033280372619628906,0.01513814926147461,12.70479154586792,0.033280372619628906,0.01513814926147461,12.70479154586792,0,True,10
ExtraTreesClassifierEntr,0.9173060528559249,0.912,0.23036670684814453,0.19476890563964844,1.0440857410430908,0.23036670684814453,0.19476890563964844,1.0440857410430908,0,True,7
ExtraTreesClassifierGini,0.9224211423699915,0.92,0.24331116676330566,0.18709778785705566,1.0653681755065918,0.24331116676330566,0.18709778785705566,1.0653681755065918,0,True,6
KNeighborsClassifierDist,0.8482523444160273,0.856,0.2296769618988037,0.1247720718383789,0.07421875,0.2296769618988037,0.1247720718383789,0.07421875,0,True,3
KNeighborsClassifierUnif,0.8465473145780051,0.852,0.29580211639404297,0.11716842651367188,0.07269048690795898,0.29580211639404297,0.11716842651367188,0.07269048690795898,0,True,2
LightGBMClassifier,0.9190110826939472,0.932,0.06020402908325195,0.012942075729370117,2.712751626968384,0.06020402908325195,0.012942075729370117,2.712751626968384,0,True,8
LightGBMClassifierCustom,0.9164535379369139,0.94,0.021886348724365234,0.006882429122924805,10.053590297698975,0.021886348724365234,0.006882429122924805,10.053590297698975,0,True,11
LightGBMClassifierXT,0.9190110826939472,0.932,0.04987311363220215,0.012000560760498047,2.602694511413574,0.04987311363220215,0.012000560760498047,2.602694511413574,0,True,9
NeuralNetClassifier,0.9019607843137255,0.91,0.7044248580932617,0.31159543991088867,8.230199098587036,0.7044248580932617,0.31159543991088867,8.230199098587036,0,True,1
RandomForestClassifierEntr,0.9096334185848253,0.884,0.22363042831420898,0.18093085289001465,1.426360845565796,0.22363042831420898,0.18093085289001465,1.426360845565796,0,True,5
RandomForestClassifierGini,0.9138959931798807,0.908,0.2362499237060547,0.1953129768371582,1.4272043704986572,0.2362499237060547,0.1953129768371582,1.4272043704986572,0,True,4
weighted_ensemble_k0_l1,0.9258312020460358,0.944,0.30837130546569824,0.20984268188476562,24.448081254959106,0.009893417358398438,0.0007243156433105469,0.6243312358856201,1,True,12
