model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatboostClassifier,0.9442351168048229,0.942,0.031236886978149414,0.013951539993286133,9.049292087554932,0.031236886978149414,0.013951539993286133,9.049292087554932,0,True,10
ExtraTreesClassifierEntr,0.9314242652599849,0.926,0.24814486503601074,0.18966460227966309,0.9980087280273438,0.24814486503601074,0.18966460227966309,0.9980087280273438,0,True,7
ExtraTreesClassifierGini,0.9321778447626224,0.932,0.27307963371276855,0.1797947883605957,1.2014975547790527,0.27307963371276855,0.1797947883605957,1.2014975547790527,0,True,6
KNeighborsClassifierDist,0.8666164280331575,0.85,0.420764684677124,0.15215563774108887,0.08672285079956055,0.420764684677124,0.15215563774108887,0.08672285079956055,0,True,3
KNeighborsClassifierUnif,0.8613413715146948,0.842,0.21367597579956055,0.15810656547546387,0.08714580535888672,0.21367597579956055,0.15810656547546387,0.08714580535888672,0,True,2
LightGBMClassifier,0.9480030143180106,0.944,0.03542923927307129,0.008480310440063477,2.7216951847076416,0.03542923927307129,0.008480310440063477,2.7216951847076416,0,True,8
LightGBMClassifierCustom,0.9495101733232856,0.946,0.1128232479095459,0.015572786331176758,12.820012331008911,0.1128232479095459,0.015572786331176758,12.820012331008911,0,True,11
LightGBMClassifierXT,0.9480030143180106,0.944,0.03419685363769531,0.008461475372314453,2.5797786712646484,0.03419685363769531,0.008461475372314453,2.5797786712646484,0,True,9
NeuralNetClassifier,0.8967596081386586,0.922,0.7576050758361816,0.33025670051574707,8.499294757843018,0.7576050758361816,0.33025670051574707,8.499294757843018,0,True,1
RandomForestClassifierEntr,0.921627731725697,0.912,0.2319352626800537,0.18215036392211914,1.3989498615264893,0.2319352626800537,0.18215036392211914,1.3989498615264893,0,True,5
RandomForestClassifierGini,0.9193669932177845,0.912,0.2592916488647461,0.19177675247192383,1.3921923637390137,0.2592916488647461,0.19177675247192383,1.3921923637390137,0,True,4
weighted_ensemble_k0_l1,0.9525244913338358,0.95,0.40093207359313965,0.21992158889770508,23.469539880752563,0.008727073669433594,0.0007326602935791016,0.602226734161377,1,True,12
