model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatboostClassifier,1.0,1.0,0.012076854705810547,0.007462263107299805,3.293391704559326,0.012076854705810547,0.007462263107299805,3.293391704559326,0,True,9
ExtraTreesClassifierEntr,1.0,1.0,0.20669031143188477,0.17918682098388672,0.8384215831756592,0.20669031143188477,0.17918682098388672,0.8384215831756592,0,True,4
ExtraTreesClassifierGini,0.999322951929587,1.0,0.19910407066345215,0.18221712112426758,0.8322405815124512,0.19910407066345215,0.18221712112426758,0.8322405815124512,0,True,3
KNeighborsClassifierDist,1.0,1.0,0.3555748462677002,0.07368803024291992,0.060797929763793945,0.3555748462677002,0.07368803024291992,0.060797929763793945,0,True,6
KNeighborsClassifierUnif,1.0,1.0,0.27692675590515137,0.075286865234375,0.05108022689819336,0.27692675590515137,0.075286865234375,0.05108022689819336,0,True,5
LightGBMClassifier,1.0,1.0,0.006323814392089844,0.00675511360168457,0.34310150146484375,0.006323814392089844,0.00675511360168457,0.34310150146484375,0,True,7
LightGBMClassifierCustom,1.0,1.0,0.004334449768066406,0.006723642349243164,0.3000953197479248,0.004334449768066406,0.006723642349243164,0.3000953197479248,0,True,11
LightGBMClassifierXT,1.0,1.0,0.006640434265136719,0.006001710891723633,0.3023691177368164,0.006640434265136719,0.006001710891723633,0.3023691177368164,0,True,8
NeuralNetClassifier,0.998645903859174,1.0,0.36168622970581055,0.13069891929626465,4.898818492889404,0.36168622970581055,0.13069891929626465,4.898818492889404,0,True,10
RandomForestClassifierEntr,1.0,1.0,0.1865100860595703,0.17845916748046875,1.2143571376800537,0.1865100860595703,0.17845916748046875,1.2143571376800537,0,True,2
RandomForestClassifierGini,1.0,1.0,0.19735288619995117,0.17054152488708496,1.2391588687896729,0.19735288619995117,0.17054152488708496,1.2391588687896729,0,True,1
weighted_ensemble_k0_l1,1.0,1.0,0.3610227108001709,0.0754852294921875,0.7845258712768555,0.005447864532470703,0.0017971992492675781,0.7237279415130615,1,True,12
